timestamp,open,high,low,close,volume
2023-09-12,0.0600,0.0600,0.0399,0.0600,435797
2023-09-11,0.0601,0.0700,0.0600,0.0600,8815
2023-09-08,0.0800,0.0800,0.0800,0.0800,490
2023-09-07,0.1087,0.2100,0.0704,0.0800,28190
2023-09-06,0.0801,0.0801,0.0731,0.0731,481
2023-09-05,0.0596,0.0701,0.0596,0.0700,4121
2023-09-01,0.0600,0.0600,0.0596,0.0596,700
2023-08-31,0.0750,0.0751,0.0500,0.0500,6306
2023-08-30,0.0710,0.0750,0.0710,0.0750,9450
2023-08-29,0.0700,0.0700,0.0700,0.0700,606
2023-08-28,0.0904,0.1022,0.0580,0.0580,9334
2023-08-25,0.0792,0.0977,0.0792,0.0904,1800
2023-08-24,0.0750,0.0793,0.0750,0.0793,10853
2023-08-23,0.0839,0.1104,0.0800,0.0800,15973
2023-08-22,0.0760,0.0850,0.0610,0.0610,6308
2023-08-21,0.1034,0.1039,0.0616,0.0616,2006
2023-08-18,0.0718,0.0718,0.0718,0.0718,100
2023-08-17,0.0718,0.0718,0.0718,0.0718,0
2023-08-16,0.0718,0.0718,0.0718,0.0718,170
2023-08-15,0.0838,0.0838,0.0718,0.0718,885
2023-08-14,0.0807,0.0807,0.0807,0.0807,123
2023-08-11,0.0806,0.0806,0.0806,0.0806,0
2023-08-10,0.0940,0.0940,0.0721,0.0806,4261
2023-08-09,0.1141,0.1899,0.0654,0.0920,45980
2023-08-08,0.0900,0.0900,0.0900,0.0900,20899
2023-08-07,0.0906,0.0906,0.0900,0.0900,609
2023-08-04,0.0900,0.0900,0.0850,0.0900,2502
2023-08-03,0.1869,0.1869,0.1000,0.1000,1207
2023-08-02,0.0800,0.1031,0.0800,0.0900,2452
2023-08-01,0.0995,0.1256,0.0850,0.0850,22320
2023-07-31,0.0875,0.1269,0.0802,0.0851,4371
2023-07-28,0.0738,0.1489,0.0691,0.0850,18370
2023-07-27,0.1146,0.1146,0.0651,0.0651,8890
2023-07-26,0.1100,0.1100,0.1100,0.1100,0
2023-07-25,0.1100,0.1100,0.1075,0.1100,20550
2023-07-24,0.1000,0.1000,0.0990,0.0990,1222
2023-07-21,0.0900,0.0900,0.0900,0.0900,0
2023-07-20,0.0900,0.0900,0.0900,0.0900,0
2023-07-19,0.0900,0.0900,0.0900,0.0900,0
2023-07-18,0.0998,0.1045,0.0800,0.0900,26725
2023-07-17,0.0990,0.0990,0.0990,0.0990,34
2023-07-14,0.0990,0.0990,0.0990,0.0990,300
2023-07-13,0.0870,0.0870,0.0870,0.0870,1000
2023-07-12,0.0870,0.0870,0.0870,0.0870,0
2023-07-11,0.0870,0.0870,0.0870,0.0870,0
2023-07-10,0.0870,0.0870,0.0870,0.0870,400
2023-07-07,0.0947,0.1403,0.0850,0.0850,5268
2023-07-06,0.0800,0.0800,0.0800,0.0800,100
2023-07-05,0.0800,0.0800,0.0800,0.0800,101
2023-07-03,0.0800,0.0800,0.0800,0.0800,0
2023-06-30,0.0800,0.0800,0.0800,0.0800,0
2023-06-29,0.1100,0.1106,0.0800,0.0800,2811
2023-06-28,0.1100,0.1100,0.1100,0.1100,30100
2023-06-27,0.1190,0.1260,0.1187,0.1187,3800
2023-06-26,0.0900,0.0900,0.0900,0.0900,0
2023-06-23,0.0888,0.0900,0.0800,0.0900,8324
2023-06-22,0.1090,0.1090,0.1090,0.1090,100
2023-06-21,0.1200,0.1200,0.1088,0.1090,21662
2023-06-20,0.1200,0.1200,0.0800,0.1131,20122
2023-06-16,0.1000,0.1135,0.0900,0.1135,150918
2023-06-15,0.0700,0.1200,0.0600,0.1000,166752
