,index,Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,BA,OBP,OPS,Team_Hits,Hits_allowed,HR_allowed,ERA
1,138,134,"Wednesday, Aug 30",boxscore,ARI,@,LAD,L,0,7,,69-65,3,15.0,Pepiot,Pfaadt,Yarbrough,2:42,N,50953,1.09,---,,.253,.323,.741,6,11,2,4.63
2,140,135,"Friday, Sep 1",boxscore,ARI,,BAL,W,4,2,,70-65,2,13.5,Davies,Irvin,Sewald,2:40,N,18248,1.05,+,,.254,.324,.742,10,8,0,4.61
3,141,136,"Saturday, Sep 2",boxscore,ARI,,BAL,L,3,7,,70-66,2,13.5,Bradish,Cecconi,,2:49,N,34118,1.14,-,,.253,.323,.741,5,11,2,4.63
4,142,137,"Sunday, Sep 3",boxscore,ARI,,BAL,L,5,8,,70-67,2,14.5,Coulombe,Gallen,,3:06,D,24284,1.08,--,,.253,.323,.741,9,14,0,4.65
5,143,138,"Monday, Sep 4",boxscore,ARI,,COL,W,4,2,,71-67,2,14.0,Kelly,Lambert,Sewald,2:18,D,18097,1.00,+,,.253,.322,.740,6,5,0,4.64
6,144,139,"Tuesday, Sep 5",boxscore,ARI,,COL,L,2,3,,71-68,2,14.0,Freeland,Pfaadt,Kinley,2:38,N,12994,1.03,-,,.252,.322,.739,6,7,0,4.62
7,145,140,"Wednesday, Sep 6",boxscore,ARI,,COL,W,12,5,,72-68,2,13.0,Jarvis,Flexen,,3:01,D,11044,.87,+,,.253,.323,.742,13,6,0,4.63
8,146,141,"Thursday, Sep 7",boxscore,ARI,@,CHC,W,6,2,,73-68,2,13.0,Nelson,Assad,Sewald,2:34,N,28814,1.26,++,,.253,.324,.744,10,5,0,4.61
9,147,142,"Friday, Sep 8",boxscore,ARI,@,CHC,W,1,0,,74-68,2,13.0,Gallen,Cuas,,2:16,D,31846,1.50,+++,,.252,.323,.741,4,3,0,4.57
10,148,143,"Saturday, Sep 9",boxscore,ARI,@,CHC,W,3,2,10,75-68,2,12.0,Ginkel,Palencia,Sewald,3:12,D,40391,1.64,++++,,.252,.323,.740,8,8,0,4.54
11,149,144,"Sunday, Sep 10",boxscore,ARI,@,CHC,L,2,5,,75-69,2,13.0,Hendricks,Mantiply,Merryweather,2:17,D,35431,1.73,-,,.252,.323,.739,9,9,3,4.55
12,150,145,"Monday, Sep 11",boxscore,ARI,@,NYM,W,4,3,,76-69,2,12.0,Ginkel,Smith,Sewald,2:50,N,25230,1.40,+,,.253,.323,.739,10,6,1,4.54
13,151,146,"Tuesday, Sep 12",boxscore,ARI,@,NYM,L,4,7,,76-70,2,13.0,Butto,Nelson,Ottavino,2:53,N,33506,1.45,-,,.252,.323,.739,6,13,3,4.56
14,152,147,"Wednesday, Sep 13",boxscore,ARI,@,NYM,L,1,7,,76-71,2,13.0,Lucchesi,Gallen,,2:45,N,22026,1.49,--,,.252,.323,.737,6,11,1,4.57
15,153,148,"Thursday, Sep 14",boxscore,ARI,@,NYM,L,1,11,,76-72,2,13.5,Senga,Kelly,,2:38,D,22879,1.46,---,,.251,.322,.735,4,10,2,4.62
