,level_0,index,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,W-L,Rank,GB,Save,D/N,cLI,Streak,BA,OBP,OPS,Team_Hits,Hits_allowed,HR_allowed,ERA,predict
38,8,125,2023-8-18,boxscore,ATL,,SFG,W,4,0,0.653,1,up13.5,,N,0.1,3,0.274,0.345,0.845,10,2,0,3.79,1
39,9,126,2023-8-19,boxscore,ATL,,SFG,W,6,5,0.656,1,up13.5,Iglesias,N,0.09,4,0.274,0.345,0.845,11,11,1,3.8,1
40,10,127,2023-8-20,boxscore,ATL,,SFG,L,3,4,0.65,1,up13.5,,D,0.07,5,0.274,0.344,0.843,6,10,2,3.8,0
41,11,128,2023-8-21,boxscore,ATL,,NYM,L,4,10,0.645,1,up12.5,,N,0.08,-1,0.274,0.344,0.843,9,14,3,3.85,0
42,12,129,2023-8-22,boxscore,ATL,,NYM,W,3,2,0.648,1,up12.5,Iglesias,N,0.12,-2,0.273,0.344,0.843,9,5,1,3.84,1
43,13,130,2023-8-23,boxscore,ATL,,NYM,W,7,0,0.651,1,up13.5,,N,0.08,1,0.274,0.345,0.843,12,3,0,3.81,1
44,14,131,2023-8-25,boxscore,ATL,@,SFG,W,5,1,0.654,1,up13.5,,N,0.06,2,0.274,0.344,0.842,7,6,0,3.79,1
45,15,132,2023-8-26,boxscore,ATL,@,SFG,W,7,3,0.656,1,up13.5,,D,0.08,3,0.274,0.344,0.843,9,8,1,3.78,1
46,16,133,2023-8-27,boxscore,ATL,@,SFG,L,5,8,0.651,1,up12.5,Doval,D,0.08,4,0.273,0.343,0.841,6,8,1,3.82,0
47,17,134,2023-8-28,boxscore,ATL,@,COL,W,14,4,0.654,1,up12.5,,N,0.11,-1,0.275,0.345,0.844,18,9,1,3.82,1
48,18,135,2023-8-29,boxscore,ATL,@,COL,W,3,1,0.656,1,up12.5,Iglesias,N,0.07,1,0.276,0.345,0.845,15,3,0,3.8,1
49,19,136,2023-8-30,boxscore,ATL,@,COL,W,7,3,0.659,1,up13.5,,N,0.1,2,0.276,0.345,0.845,12,5,1,3.79,1
50,20,137,2023-8-31,boxscore,ATL,@,LAD,W,8,7,0.662,1,up14.0,Iglesias,N,0.07,3,0.276,0.345,0.845,9,9,4,3.81,1
51,21,139,2023-9-1,boxscore,ATL,@,LAD,W,6,3,0.664,1,up15.0,Yates,N,0.07,4,0.276,0.345,0.847,14,6,1,3.78,1
