,level_0,index,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,W-L,Rank,GB,Save,D/N,cLI,Streak,BA,OBP,OPS,Team_Hits,Hits_allowed,HR_allowed,ERA,predict,opp_number,RA_ave,R_ave,BA_ave,OBP_ave,OPS_ave,Team_Hits_ave,Hits_allowed_ave,ERA_ave,cLI_ave
332,11.0,122.0,2023-08-15,boxscore,LAD,,MIL,W,6.0,2.0,0.61,1.0,up 9.0,Yarbrough,N,0.76,8,0.252,0.339,0.795,10.0,2.0,1.0,4.24,1.0,15,1.2,4.4,0.2516,0.3388,0.7952000000000001,8.4,4.4,4.31,0.78
333,12.0,123.0,2023-08-16,boxscore,LAD,,MIL,W,7.0,1.0,0.613,1.0,up10.0,,N,0.55,9,0.253,0.339,0.796,10.0,3.0,1.0,4.22,1.0,15,1.6,5.2,0.2518,0.3390000000000001,0.7952,8.8,4.0,4.284000000000001,0.732
334,13.0,124.0,2023-08-17,boxscore,LAD,,MIL,W,1.0,0.0,0.617,1.0,up10.5,Phillips,N,0.43,10,0.252,0.338,0.793,4.0,5.0,0.0,4.18,1.0,15,1.6,6.2,0.25220000000000004,0.33920000000000006,0.7956000000000001,9.8,3.8,4.26,0.67
335,14.0,125.0,2023-08-18,boxscore,LAD,,MIA,L,3.0,11.0,0.612,1.0,up10.5,,N,0.29,11,0.252,0.339,0.794,10.0,9.0,5.0,4.24,0.0,14,1.4,5.2,0.25220000000000004,0.3390000000000001,0.7952,8.4,3.6,4.236,0.5980000000000001
336,16.0,127.0,2023-08-19,boxscore,LAD,,MIA,W,3.0,1.0,0.618,1.0,up12.0,Graterol,N,0.29,1,0.251,0.337,0.791,5.0,8.0,1.0,4.19,1.0,14,3.4,5.0,0.25220000000000004,0.3390000000000001,0.7948000000000001,8.8,4.8,4.228,0.522
337,15.0,126.0,2023-08-19,boxscore,LAD,,MIA,W,3.0,1.0,0.615,1.0,up12.0,Phillips,D,0.33,-1,0.252,0.338,0.792,6.0,5.0,0.0,4.21,1.0,14,3.0,4.0,0.252,0.33840000000000003,0.7938000000000001,7.8,5.4,4.214,0.4640000000000001
338,17.0,128.0,2023-08-22,boxscore,LAD,@,CLE,L,3.0,8.0,0.613,1.0,up11.5,,N,0.26,2,0.251,0.336,0.789,6.0,12.0,2.0,4.22,0.0,7,2.8,3.4,0.252,0.33820000000000006,0.7932,7.0,6.0,4.208,0.378
339,18.0,129.0,2023-08-23,boxscore,LAD,@,CLE,W,6.0,1.0,0.616,1.0,up12.0,,D,,-1,0.252,0.337,0.79,14.0,4.0,1.0,4.19,1.0,7,4.2,2.6,0.2516,0.3376,0.7918000000000001,6.2,7.8,4.208,0.31999999999999995
340,24.0,135.0,2023-08-29,boxscore,LAD,,ARI,W,9.0,1.0,0.626,1.0,up13.5,,N,0.23,2,0.256,0.341,0.8,16.0,6.0,1.0,4.17,1.0,0,4.6,7.0,0.25359999999999994,0.3386,0.7936,12.0,9.8,4.192,0.256
341,25.0,136.0,2023-08-30,boxscore,LAD,,ARI,W,7.0,0.0,0.629,1.0,up14.5,Yarbrough,N,0.18,3,0.257,0.341,0.801,11.0,6.0,0.0,4.14,1.0,0,4.2,7.0,0.2542,0.3392,0.795,12.2,9.0,4.19,0.22800000000000004
342,26.0,137.0,2023-08-31,boxscore,LAD,,ATL,L,7.0,8.0,0.624,1.0,up13.5,Iglesias,N,0.14,4,0.257,0.341,0.802,9.0,9.0,3.0,4.16,0.0,1,3.4,7.0,0.255,0.33980000000000005,0.7968,12.4,7.4,4.182,0.22400000000000003
343,27.0,139.0,2023-09-01,boxscore,LAD,,ATL,L,3.0,6.0,0.619,1.0,up13.5,Yates,N,0.15,-1,0.256,0.34,0.801,6.0,14.0,3.0,4.18,0.0,1,3.4,7.4,0.25579999999999997,0.34020000000000006,0.7988000000000002,12.2,7.2,4.174,0.21200000000000002
344,28.0,140.0,2023-09-02,boxscore,LAD,,ATL,L,2.0,4.0,0.615,1.0,up13.5,Iglesias,N,0.17,-2,0.256,0.34,0.799,6.0,5.0,2.0,4.16,0.0,1,3.8,6.6,0.25620000000000004,0.3404,0.8002,10.6,8.6,4.17,0.194
345,29.0,141.0,2023-09-03,boxscore,LAD,,ATL,W,3.0,1.0,0.618,1.0,up14.5,Graterol,D,0.21,-3,0.256,0.341,0.799,11.0,5.0,1.0,4.14,1.0,1,3.8,5.6,0.2564,0.3406,0.8006,9.6,8.0,4.162,0.174
346,,,2023-09-06,,LAD,,MIA,,,,0.618,,,,,,-1,,,,,,,,,14,3.8,4.4,0.2564,0.34060000000000007,0.8004,8.6,7.8,4.156000000000001,0.17
347,5.0,117.0,2023-08-06,boxscore,MIA,@,TEX,L,0.0,6.0,0.513,3.0,14.0,,D,0.97,-3,0.264,0.32,0.72,6.0,8.0,4.0,4.15,0.0,27,6.0,4.4,0.26480000000000004,0.321,0.7208,9.8,8.6,4.088,1.0899999999999999
348,6.0,118.0,2023-08-07,boxscore,MIA,@,CIN,L,2.0,5.0,0.509,3.0,14.0,Díaz,N,1.08,-4,0.263,0.319,0.719,5.0,6.0,2.0,4.16,0.0,6,6.6,4.2,0.26460000000000006,0.32080000000000003,0.721,8.8,9.0,4.104,1.0539999999999998
349,7.0,119.0,2023-08-08,boxscore,MIA,@,CIN,W,3.0,2.0,0.513,3.0,14.0,Robertson,N,1.08,-5,0.263,0.319,0.718,7.0,6.0,0.0,4.14,1.0,6,6.0,2.8,0.26420000000000005,0.3202,0.7203999999999999,7.2,7.8,4.122,1.044
350,8.0,120.0,2023-08-09,boxscore,MIA,@,CIN,W,5.0,4.0,0.517,3.0,14.0,Robertson,D,1.13,1,0.262,0.318,0.719,8.0,10.0,2.0,4.14,1.0,6,5.6,3.0,0.2638,0.31980000000000003,0.7198,7.2,7.8,4.136,1.024
351,9.0,121.0,2023-08-11,boxscore,MIA,,NYY,L,4.0,9.0,0.513,3.0,14.5,,N,0.99,2,0.262,0.318,0.718,6.0,14.0,2.0,4.18,0.0,18,5.2,3.6,0.2634,0.3194,0.7196,7.4,7.8,4.146,1.044
352,10.0,122.0,2023-08-12,boxscore,MIA,,NYY,W,3.0,1.0,0.517,3.0,15.0,,D,0.95,-1,0.262,0.317,0.718,8.0,5.0,0.0,4.15,1.0,18,5.2,2.8,0.26280000000000003,0.31880000000000003,0.7188000000000001,6.4,8.8,4.154,1.05
353,11.0,123.0,2023-08-13,boxscore,MIA,,NYY,W-wo,8.0,7.0,0.521,3.0,14.0,,D,1.03,1,0.262,0.318,0.719,11.0,6.0,2.0,4.17,0.0,18,4.2,3.4,0.2624,0.3182,0.7183999999999999,6.8,8.2,4.154,1.0459999999999998
354,12.0,124.0,2023-08-14,boxscore,MIA,,HOU,W,5.0,1.0,0.525,3.0,14.0,,N,1.07,2,0.262,0.317,0.72,7.0,8.0,0.0,4.15,1.0,10,4.6,4.6,0.2622,0.318,0.7184,8.0,8.2,4.156000000000001,1.036
355,13.0,125.0,2023-08-15,boxscore,MIA,,HOU,L,5.0,6.0,0.521,3.0,15.0,Pressly,N,1.07,3,0.262,0.317,0.719,8.0,8.0,3.0,4.16,0.0,10,4.4,5.0,0.262,0.3176,0.7188,8.0,8.6,4.1579999999999995,1.034
356,14.0,126.0,2023-08-16,boxscore,MIA,,HOU,L,5.0,12.0,0.516,3.0,16.0,,N,1.07,-1,0.262,0.317,0.719,9.0,12.0,3.0,4.21,0.0,10,4.8,5.0,0.262,0.3174,0.7188000000000001,8.0,8.2,4.162,1.0219999999999998
357,15.0,127.0,2023-08-18,boxscore,MIA,@,LAD,W,11.0,3.0,0.52,3.0,16.0,,N,1.07,-2,0.261,0.317,0.722,9.0,10.0,3.0,4.2,1.0,13,5.4,5.2,0.262,0.31720000000000004,0.7190000000000001,8.6,7.8,4.168,1.0379999999999998
358,16.0,128.0,2023-08-19,boxscore,MIA,@,LAD,L,1.0,3.0,0.516,3.0,17.5,Phillips,D,1.12,1,0.261,0.317,0.72,5.0,6.0,0.0,4.2,0.0,13,5.8,6.8,0.26180000000000003,0.31720000000000004,0.7198,8.8,8.8,4.178,1.062
359,17.0,129.0,2023-08-19,boxscore,MIA,@,LAD,L,1.0,3.0,0.512,3.0,17.5,Graterol,N,1.1,-1,0.26,0.316,0.719,8.0,5.0,2.0,4.19,0.0,13,5.0,5.4,0.2616,0.317,0.72,7.6,8.8,4.184,1.08
360,18.0,130.0,2023-08-21,boxscore,MIA,@,SDP,L,2.0,6.0,0.508,3.0,17.0,,N,1.11,-2,0.26,0.316,0.718,7.0,7.0,2.0,4.21,0.0,22,5.4,4.6,0.2612,0.3168,0.7198,7.8,8.2,4.192,1.0859999999999999
361,19.0,131.0,2023-08-22,boxscore,MIA,@,SDP,W,3.0,0.0,0.512,3.0,17.0,Robertson,N,1.01,-3,0.26,0.316,0.717,8.0,3.0,0.0,4.17,1.0,22,5.4,4.0,0.26080000000000003,0.3166,0.7196,7.6,8.0,4.202,1.0939999999999999
362,20.0,132.0,2023-08-23,boxscore,MIA,@,SDP,L,0.0,4.0,0.508,3.0,18.0,,D,1.07,1,0.259,0.315,0.715,4.0,7.0,1.0,4.18,0.0,22,3.0,3.6,0.2604,0.31639999999999996,0.7192,7.4,6.2,4.194,1.082
363,21.0,133.0,2023-08-25,boxscore,MIA,,WSN,L,4.0,7.0,0.504,3.0,19.0,Harvey,N,0.95,-1,0.259,0.315,0.714,9.0,13.0,1.0,4.2,0.0,29,3.2,1.4,0.25999999999999995,0.316,0.7177999999999999,6.4,5.6,4.19,1.082
364,22.0,134.0,2023-08-26,boxscore,MIA,,WSN,L,2.0,3.0,0.5,3.0,20.0,Finnegan,D,0.83,-2,0.259,0.315,0.715,7.0,5.0,0.0,4.17,0.0,29,4.0,2.0,0.2596,0.3156,0.7166,7.2,7.0,4.1899999999999995,1.048
365,23.0,135.0,2023-08-27,boxscore,MIA,,WSN,W,2.0,1.0,0.504,3.0,19.0,Scott,D,0.72,-3,0.258,0.314,0.714,6.0,7.0,0.0,4.15,1.0,29,4.0,2.2,0.2594,0.3154,0.7158,7.0,7.0,4.186,0.9940000000000001
366,24.0,136.0,2023-08-29,boxscore,MIA,,TBR,L,2.0,11.0,0.5,3.0,20.5,,N,0.79,1,0.258,0.314,0.714,10.0,15.0,3.0,4.2,0.0,26,3.0,2.2,0.259,0.315,0.715,6.8,7.0,4.174,0.916
367,25.0,137.0,2023-08-30,boxscore,MIA,,TBR,L,0.0,3.0,0.496,3.0,21.5,Fairbanks,N,0.63,-1,0.257,0.313,0.711,4.0,5.0,0.0,4.18,0.0,26,5.2,2.0,0.25860000000000005,0.3146,0.7144,7.2,9.4,4.180000000000001,0.8720000000000001
368,26.0,138.0,2023-08-31,boxscore,MIA,@,WSN,W,6.0,1.0,0.5,3.0,21.5,,N,0.6,-2,0.258,0.314,0.713,13.0,3.0,0.0,4.16,1.0,29,5.0,2.0,0.25820000000000004,0.3142,0.7136,7.2,9.0,4.18,0.784
369,27.0,140.0,2023-09-01,boxscore,MIA,@,WSN,W,8.0,5.0,0.504,3.0,21.5,,N,0.68,1,0.258,0.314,0.713,9.0,8.0,3.0,4.14,1.0,29,3.8,2.4,0.258,0.314,0.7134,8.0,7.0,4.172,0.714
370,28.0,141.0,2023-09-02,boxscore,MIA,@,WSN,W,11.0,5.0,0.507,3.0,21.5,,D,0.85,2,0.259,0.314,0.716,18.0,10.0,2.0,4.15,1.0,29,4.2,3.6,0.25780000000000003,0.31379999999999997,0.7129999999999999,8.4,7.6,4.166,0.6839999999999999
371,29.0,142.0,2023-09-03,boxscore,MIA,@,WSN,W,6.0,4.0,0.511,3.0,20.5,Scott,D,1.04,3,0.26,0.315,0.717,10.0,10.0,1.0,4.13,1.0,29,5.0,5.4,0.258,0.31379999999999997,0.7133999999999999,10.8,8.2,4.1659999999999995,0.7100000000000001
372,5.0,117.0,2023-08-06,boxscore,MIL,,PIT,L,1.0,4.0,0.531,1.0,up 1.5,,D,1.41,1,0.233,0.312,0.688,4.0,6.0,3.0,4.04,0.0,21,3.6,5.8,0.23320000000000002,0.312,0.6891999999999999,8.6,6.6,4.056,1.402
373,6.0,118.0,2023-08-07,boxscore,MIL,,COL,W,12.0,1.0,0.535,1.0,up 1.5,,N,1.41,-1,0.234,0.313,0.692,13.0,1.0,1.0,4.02,1.0,8,3.6,4.8,0.2334,0.3122,0.6892,8.2,6.4,4.048,1.402
374,7.0,119.0,2023-08-08,boxscore,MIL,,COL,L,3.0,7.0,0.53,1.0,up 1.5,,N,1.31,1,0.234,0.313,0.692,9.0,6.0,3.0,4.03,0.0,8,3.2,6.8,0.2338,0.3128,0.6903999999999999,10.0,5.6,4.04,1.3980000000000001
375,8.0,120.0,2023-08-09,boxscore,MIL,,COL,W-wo,7.0,6.0,0.534,1.0,up 2.5,,D,1.28,-1,0.234,0.312,0.693,10.0,7.0,1.0,4.03,0.0,8,4.4,4.6,0.2338,0.3128,0.6906,8.6,5.6,4.040000000000001,1.378
376,9.0,121.0,2023-08-11,boxscore,MIL,@,CHW,W,7.0,6.0,0.538,1.0,up 2.5,Uribe,N,1.25,1,0.235,0.313,0.693,11.0,10.0,1.0,4.04,1.0,5,4.0,5.2,0.2338,0.3126,0.6910000000000001,9.0,4.6,4.032000000000001,1.354
377,10.0,122.0,2023-08-12,boxscore,MIL,@,CHW,W,3.0,2.0,0.542,1.0,up 2.5,Williams,N,1.24,2,0.234,0.313,0.692,7.0,5.0,1.0,4.02,1.0,5,4.8,6.0,0.23400000000000004,0.3126,0.6916,9.4,6.0,4.032,1.332
378,11.0,123.0,2023-08-13,boxscore,MIL,@,CHW,W,7.0,3.0,0.546,1.0,up 3.5,,D,1.16,3,0.234,0.313,0.692,7.0,9.0,0.0,4.01,1.0,5,4.4,6.4,0.23420000000000002,0.31279999999999997,0.6923999999999999,10.0,5.8,4.0280000000000005,1.298
379,12.0,124.0,2023-08-15,boxscore,MIL,@,LAD,L,2.0,6.0,0.542,1.0,up 3.5,Yarbrough,N,1.27,4,0.233,0.312,0.689,2.0,10.0,0.0,4.01,0.0,13,4.8,5.4,0.23420000000000002,0.3128,0.6923999999999999,8.8,7.4,4.026,1.2479999999999998
380,13.0,125.0,2023-08-16,boxscore,MIL,@,LAD,L,1.0,7.0,0.537,1.0,up 2.5,,N,1.13,-1,0.232,0.311,0.688,3.0,10.0,2.0,4.01,0.0,13,4.6,5.2,0.23399999999999999,0.3126,0.6918,7.4,8.2,4.022,1.24
381,14.0,126.0,2023-08-17,boxscore,MIL,@,LAD,L,0.0,1.0,0.533,1.0,up 2.0,Phillips,N,1.06,-2,0.232,0.311,0.686,5.0,4.0,1.0,3.99,0.0,13,4.8,4.0,0.23360000000000003,0.31239999999999996,0.6908,6.0,8.8,4.017999999999999,1.21
382,15.0,127.0,2023-08-18,boxscore,MIL,@,TEX,W,9.0,8.0,0.537,1.0,up 2.0,Williams,N,1.01,-3,0.233,0.312,0.688,14.0,8.0,2.0,4.02,1.0,27,3.8,2.6,0.233,0.312,0.6894,4.8,7.6,4.008,1.172
383,16.0,128.0,2023-08-19,boxscore,MIL,@,TEX,W,6.0,1.0,0.54,1.0,up 3.0,,D,1.01,1,0.234,0.313,0.691,15.0,5.0,0.0,4.0,1.0,27,5.0,3.8,0.23280000000000003,0.3118,0.6885999999999999,6.2,8.2,4.008,1.126
384,17.0,129.0,2023-08-20,boxscore,MIL,@,TEX,W,6.0,2.0,0.544,1.0,up 3.0,Williams,D,0.88,2,0.234,0.313,0.691,7.0,8.0,1.0,3.97,1.0,27,4.6,3.6,0.23280000000000003,0.31179999999999997,0.6884,7.8,7.4,4.006,1.096
385,18.0,130.0,2023-08-22,boxscore,MIL,,MIN,W,7.0,3.0,0.548,1.0,up 3.5,,N,0.82,3,0.234,0.313,0.692,8.0,7.0,1.0,3.97,1.0,16,3.8,4.4,0.233,0.312,0.6888,8.8,7.0,3.9979999999999998,1.018
386,19.0,131.0,2023-08-23,boxscore,MIL,,MIN,W-wo,8.0,7.0,0.551,1.0,up 3.5,,D,0.83,4,0.235,0.314,0.694,11.0,10.0,3.0,3.98,0.0,16,3.0,5.6,0.2334,0.3124,0.6896,9.8,6.4,3.9900000000000007,0.9559999999999998
387,20.0,132.0,2023-08-25,boxscore,MIL,,SDP,W,7.0,3.0,0.555,1.0,up 4.0,,N,0.78,5,0.235,0.315,0.695,10.0,7.0,2.0,3.97,1.0,22,4.2,7.2,0.23400000000000004,0.313,0.6911999999999999,11.0,7.6,3.9879999999999995,0.9099999999999999
388,21.0,133.0,2023-08-26,boxscore,MIL,,SDP,W,5.0,4.0,0.558,1.0,up 4.0,Williams,N,0.63,6,0.235,0.315,0.694,6.0,5.0,2.0,3.97,1.0,22,3.2,6.8,0.2344,0.3136,0.6926,10.2,7.4,3.978,0.8640000000000001
389,22.0,134.0,2023-08-27,boxscore,MIL,,SDP,W,10.0,6.0,0.562,1.0,up 4.0,,D,0.61,7,0.236,0.316,0.696,10.0,9.0,2.0,3.99,1.0,22,3.8,6.6,0.2346,0.31399999999999995,0.6932,8.4,7.4,3.972,0.788
390,23.0,135.0,2023-08-28,boxscore,MIL,@,CHC,W,6.0,2.0,0.565,1.0,up 5.0,,N,0.67,8,0.236,0.316,0.697,11.0,5.0,2.0,3.97,1.0,4,4.6,7.4,0.23500000000000001,0.3146,0.6941999999999999,9.0,7.6,3.9760000000000004,0.734
391,24.0,136.0,2023-08-29,boxscore,MIL,@,CHC,L,0.0,1.0,0.561,1.0,up 4.0,Alzolay,N,0.53,9,0.236,0.315,0.695,7.0,8.0,0.0,3.95,0.0,4,4.4,7.2,0.2354,0.31520000000000004,0.6952,9.6,7.2,3.9760000000000004,0.704
392,25.0,137.0,2023-08-30,boxscore,MIL,@,CHC,L,2.0,3.0,0.556,1.0,up 3.0,,D,0.56,-1,0.235,0.315,0.693,5.0,3.0,0.0,3.94,0.0,4,3.2,5.6,0.23559999999999998,0.3154,0.6954,8.8,6.8,3.97,0.6439999999999999
393,26.0,139.0,2023-09-01,boxscore,MIL,,PHI,W,7.0,5.0,0.56,1.0,up 3.5,,N,0.52,-2,0.235,0.315,0.693,7.0,5.0,2.0,3.95,1.0,20,3.2,4.6,0.23559999999999998,0.3154,0.6950000000000001,7.8,6.0,3.964,0.6
394,27.0,140.0,2023-09-02,boxscore,MIL,,PHI,W,7.0,5.0,0.563,1.0,up 4.5,Williams,N,0.5,1,0.236,0.315,0.695,12.0,7.0,3.0,3.95,1.0,20,3.4,5.0,0.23559999999999998,0.3154,0.6947999999999999,8.0,6.0,3.96,0.5780000000000001
395,28.0,141.0,2023-09-03,boxscore,MIL,,PHI,L,2.0,4.0,0.559,1.0,up 3.5,Kimbrel,D,0.44,2,0.236,0.315,0.694,7.0,6.0,2.0,3.95,0.0,20,3.2,4.4,0.23559999999999998,0.31520000000000004,0.6946,8.4,5.6,3.9520000000000004,0.556
396,29.0,142.0,2023-09-04,boxscore,MIL,@,PIT,L,2.0,4.0,0.555,1.0,up 2.5,Bednar,N,0.39,-1,0.236,0.315,0.693,6.0,9.0,2.0,3.95,0.0,21,3.6,3.6,0.23559999999999998,0.315,0.694,7.6,5.8,3.9480000000000004,0.51
397,,,2023-09-06,,MIL,,PIT,,,,0.555,,,,,,-2,,,,,,,,,21,4.2,4.0,0.23559999999999998,0.315,0.6936,7.4,6.0,3.9480000000000004,0.48200000000000004
398,5.0,118.0,2023-08-07,boxscore,MIN,@,DET,W,9.0,3.0,0.526,1.0,up 5.5,,N,0.96,4,0.239,0.316,0.734,12.0,8.0,1.0,3.83,1.0,9,3.2,5.6,0.23679999999999998,0.3144,0.7278,8.2,8.0,3.8659999999999997,0.9960000000000001
399,6.0,119.0,2023-08-08,boxscore,MIN,@,DET,L,0.0,6.0,0.522,1.0,up 4.5,,N,0.87,5,0.238,0.316,0.732,6.0,11.0,1.0,3.84,0.0,9,2.4,6.8,0.23739999999999997,0.31479999999999997,0.7295999999999999,9.8,7.6,3.854,0.9879999999999999
400,7.0,120.0,2023-08-09,boxscore,MIN,@,DET,L,5.0,9.0,0.517,1.0,up 4.5,Cisnero,N,0.89,-1,0.238,0.316,0.733,7.0,17.0,2.0,3.87,0.0,9,3.0,5.8,0.2378,0.3152,0.7310000000000001,9.6,8.2,3.844,0.9639999999999999
401,8.0,121.0,2023-08-10,boxscore,MIN,@,DET,L,0.0,3.0,0.513,1.0,up 3.5,Brieske,D,0.93,-2,0.237,0.315,0.729,2.0,8.0,1.0,3.87,0.0,9,4.4,6.2,0.23819999999999997,0.3156,0.7323999999999999,9.6,9.8,3.844,0.944
402,9.0,122.0,2023-08-11,boxscore,MIN,@,PHI,L,2.0,13.0,0.508,1.0,up 3.5,,N,0.85,-3,0.237,0.315,0.729,7.0,15.0,3.0,3.95,0.0,20,4.8,3.8,0.238,0.3156,0.732,6.6,11.0,3.85,0.9259999999999999
403,10.0,123.0,2023-08-12,boxscore,MIN,@,PHI,W,8.0,1.0,0.513,1.0,up 4.5,,N,0.82,-4,0.237,0.316,0.732,11.0,9.0,0.0,3.93,1.0,20,6.8,3.2,0.2378,0.3156,0.7314,6.8,11.8,3.872,0.9
404,11.0,124.0,2023-08-13,boxscore,MIN,@,PHI,W,3.0,0.0,0.517,1.0,up 4.5,Duran,D,0.77,1,0.237,0.316,0.732,10.0,5.0,0.0,3.89,1.0,20,6.4,3.0,0.23739999999999997,0.3156,0.7310000000000001,6.6,12.0,3.8920000000000003,0.8720000000000001
405,12.0,125.0,2023-08-15,boxscore,MIN,,DET,W,5.0,3.0,0.521,1.0,up 4.5,Duran,N,0.91,2,0.237,0.316,0.732,7.0,7.0,2.0,3.89,1.0,9,5.2,3.6,0.2372,0.3156,0.731,7.4,10.8,3.902,0.852
406,13.0,126.0,2023-08-16,boxscore,MIN,,DET,L,7.0,8.0,0.516,1.0,up 4.5,,D,0.83,3,0.239,0.317,0.734,13.0,12.0,4.0,3.92,0.0,9,4.0,3.6,0.237,0.3156,0.7308,7.4,8.8,3.906,0.8560000000000001
407,14.0,127.0,2023-08-18,boxscore,MIN,,PIT,W,5.0,1.0,0.52,1.0,up 5.0,,N,0.77,-1,0.239,0.318,0.736,10.0,9.0,0.0,3.9,1.0,21,5.0,5.0,0.23739999999999997,0.316,0.7318,9.6,9.6,3.9160000000000004,0.836
408,15.0,128.0,2023-08-19,boxscore,MIN,,PIT,L,4.0,7.0,0.516,1.0,up 5.0,Bednar,N,0.75,1,0.24,0.318,0.736,11.0,8.0,1.0,3.92,0.0,21,2.6,5.6,0.2378,0.31660000000000005,0.7332,10.2,8.4,3.906,0.82
409,16.0,129.0,2023-08-20,boxscore,MIN,,PIT,W,2.0,0.0,0.52,1.0,up 6.0,Duran,D,0.74,-1,0.239,0.318,0.734,5.0,2.0,0.0,3.89,1.0,21,3.8,4.8,0.2384,0.317,0.734,10.2,8.2,3.904,0.806
410,17.0,130.0,2023-08-22,boxscore,MIN,@,MIL,L,3.0,7.0,0.516,1.0,up 5.0,,N,0.67,1,0.239,0.317,0.733,7.0,8.0,1.0,3.92,0.0,15,3.8,4.6,0.23879999999999998,0.3174,0.7343999999999999,9.2,7.6,3.904,0.8
411,18.0,131.0,2023-08-23,boxscore,MIN,@,MIL,L-wo,7.0,8.0,0.512,1.0,up 5.0,,D,0.72,-1,0.239,0.318,0.735,10.0,11.0,3.0,3.93,0.0,15,4.6,4.2,0.2392,0.3176,0.7345999999999999,9.2,7.8,3.91,0.752
412,19.0,132.0,2023-08-24,boxscore,MIN,,TEX,W,7.0,5.0,0.516,1.0,up 6.0,Jax,N,0.78,-2,0.24,0.318,0.739,11.0,10.0,3.0,3.94,1.0,27,4.6,4.2,0.2392,0.31779999999999997,0.7348000000000001,8.6,7.6,3.9120000000000004,0.73
413,20.0,133.0,2023-08-25,boxscore,MIN,,TEX,W,12.0,2.0,0.519,1.0,up 6.0,,N,0.71,1,0.241,0.32,0.743,12.0,8.0,1.0,3.92,1.0,27,5.4,4.6,0.2394,0.31779999999999997,0.7354,8.8,7.8,3.9200000000000004,0.732
414,21.0,134.0,2023-08-26,boxscore,MIN,,TEX,L,2.0,6.0,0.515,1.0,up 6.0,,N,0.75,2,0.24,0.319,0.741,5.0,9.0,2.0,3.93,0.0,27,4.4,6.2,0.23959999999999998,0.3182,0.7367999999999999,9.0,7.8,3.9200000000000004,0.724
415,22.0,135.0,2023-08-27,boxscore,MIN,,TEX,W-wo,7.0,6.0,0.519,1.0,up 6.0,,D,0.64,-1,0.24,0.319,0.74,8.0,10.0,2.0,3.93,0.0,27,5.6,6.2,0.23979999999999996,0.3184,0.7382000000000001,9.0,9.2,3.928,0.726
416,23.0,136.0,2023-08-28,boxscore,MIN,,CLE,W,10.0,6.0,0.523,1.0,up 7.0,Winder,N,0.95,1,0.241,0.32,0.743,12.0,7.0,1.0,3.94,1.0,7,5.4,7.0,0.24,0.3188,0.7396,9.2,9.6,3.9299999999999997,0.72
417,24.0,137.0,2023-08-29,boxscore,MIN,,CLE,L,2.0,4.0,0.519,1.0,up 6.0,Clase,N,0.72,2,0.24,0.32,0.742,7.0,11.0,1.0,3.94,0.0,7,5.0,7.6,0.2404,0.31920000000000004,0.7412000000000001,9.6,8.8,3.932,0.766
418,25.0,138.0,2023-08-30,boxscore,MIN,,CLE,L,2.0,5.0,0.515,1.0,up 5.0,Clase,D,0.99,-1,0.239,0.319,0.74,4.0,7.0,1.0,3.94,0.0,7,4.8,6.6,0.2404,0.3196,0.7417999999999999,8.8,9.0,3.932,0.7539999999999999
419,26.0,140.0,2023-09-01,boxscore,MIN,@,TEX,W,5.0,1.0,0.519,1.0,up 5.0,,N,0.67,-2,0.239,0.319,0.74,7.0,3.0,1.0,3.92,1.0,27,5.4,4.6,0.24,0.3194,0.7412,7.2,8.8,3.936,0.8099999999999999
420,27.0,141.0,2023-09-02,boxscore,MIN,@,TEX,W,9.0,7.0,0.522,1.0,up 5.0,Duran,N,0.69,1,0.24,0.319,0.74,13.0,9.0,2.0,3.93,1.0,27,4.4,5.2,0.23979999999999996,0.3194,0.741,7.6,7.6,3.934,0.7939999999999999
421,28.0,142.0,2023-09-03,boxscore,MIN,@,TEX,L-wo,5.0,6.0,0.518,1.0,up 5.0,,D,0.67,2,0.24,0.32,0.741,11.0,13.0,3.0,3.95,0.0,27,4.6,5.6,0.23979999999999996,0.3194,0.741,8.6,7.4,3.9339999999999997,0.8039999999999999
422,29.0,143.0,2023-09-04,boxscore,MIN,@,CLE,W,20.0,6.0,0.522,1.0,up 6.0,,N,1.15,-1,0.242,0.322,0.747,20.0,13.0,1.0,3.97,1.0,7,4.6,4.6,0.23959999999999998,0.3194,0.7405999999999999,8.4,8.6,3.936,0.748
423,,,2023-09-06,,MIN,,CLE,,,,0.522,,,,,,-1,,,,,,,,,7,5.0,8.2,0.24,0.3198,0.7416,11.0,9.0,3.942,0.834
424,5.0,117.0,2023-08-08,boxscore,NYM,,CHC,L,2.0,3.0,0.451,4.0,21.0,Alzolay,N,0.18,1,0.237,0.316,0.716,6.0,8.0,2.0,4.38,0.0,4,6.0,3.8,0.23700000000000002,0.3166,0.7165999999999999,6.4,10.4,4.396,0.192
425,6.0,118.0,2023-08-09,boxscore,NYM,,CHC,W,4.0,3.0,0.456,4.0,21.0,Bickford,N,0.15,-1,0.237,0.316,0.716,8.0,7.0,2.0,4.37,1.0,4,4.8,3.8,0.23679999999999998,0.3164,0.716,6.6,9.4,4.402,0.176
426,7.0,119.0,2023-08-11,boxscore,NYM,,ATL,L,0.0,7.0,0.452,4.0,21.5,,N,0.14,1,0.237,0.317,0.716,7.0,11.0,1.0,4.38,0.0,1,3.4,4.0,0.23679999999999998,0.31620000000000004,0.7158,7.4,8.4,4.396,0.164
