,index,Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,BA,OBP,OPS,Team_Hits,Hits_allowed,HR_allowed,ERA
1,120,116,"Friday, Aug 11",boxscore,ARI,,SDP,L,5,10,,57-59,3,12.5,Snell,Nelson,,3:06,N,26210,.72,---------,,.252,.322,.739,5,14,2,4.68
2,121,117,"Saturday, Aug 12",boxscore,ARI,,SDP,W,3,0,,58-59,3,12.5,Gallen,Hill,Sewald,2:23,N,41351,.62,+,,.253,.322,.740,10,5,0,4.64
3,122,118,"Sunday, Aug 13",boxscore,ARI,,SDP,W,5,4,,59-59,3,12.5,Nelson,Suarez,Sewald,2:48,D,29277,.68,++,,.253,.323,.742,10,11,0,4.64
4,123,119,"Monday, Aug 14",boxscore,ARI,@,COL,L,4,6,,59-60,3,13.0,Koch,Mantiply,Lawrence,2:19,N,24157,.69,-,,.252,.321,.740,5,11,2,4.65
5,124,120,"Tuesday, Aug 15",boxscore,ARI,@,COL,W,8,5,,60-60,3,13.0,Ginkel,Lawrence,Sewald,2:47,N,23644,.61,+,,.253,.322,.742,14,10,1,4.66
6,125,121,"Wednesday, Aug 16",boxscore,ARI,@,COL,W,9,7,,61-60,3,13.0,Nelson,Kinley,Sewald,3:16,D,22824,.77,++,,.254,.324,.745,12,13,2,4.68
7,126,122,"Thursday, Aug 17",boxscore,ARI,@,SDP,W,3,1,,62-60,3,13.0,Gallen,Hill,Martinez,2:21,N,38020,.89,+++,,.253,.323,.743,3,3,0,4.64
8,127,123,"Friday, Aug 18",boxscore,ARI,@,SDP,L,0,4,,62-61,3,13.0,Suarez,Castro,,2:29,N,40945,.97,-,,.253,.322,.741,6,4,1,4.64
9,128,124,"Saturday, Aug 19 (1)",boxscore,ARI,@,SDP,W,6,4,,63-61,3,13.0,Kelly,Waldron,Sewald,3:22,D,34220,.92,+,,.253,.323,.742,9,7,3,4.64
10,129,125,"Saturday, Aug 19 (2)",boxscore,ARI,@,SDP,W,8,1,,64-61,3,13.0,Jarvis,Darvish,,3:07,N,41074,1.01,++,,.254,.323,.743,13,5,1,4.61
11,130,126,"Monday, Aug 21",boxscore,ARI,,TEX,W-wo,4,3,11,65-61,3,12.5,Ginkel,Smith,,2:53,N,21829,1.04,+++,,.253,.323,.742,7,5,1,4.58
12,131,127,"Tuesday, Aug 22",boxscore,ARI,,TEX,W,6,3,,66-61,2,11.5,Gallen,Gray,Sewald,2:50,N,19003,1.09,++++,,.254,.323,.742,9,13,1,4.57
13,132,128,"Thursday, Aug 24",boxscore,ARI,,CIN,W,3,2,,67-61,2,12.0,Castro,Young,Sewald,2:46,N,18827,1.34,+++++,,.254,.324,.742,10,3,1,4.55
14,133,129,"Friday, Aug 25",boxscore,ARI,,CIN,W,10,8,,68-61,2,12.0,Pfaadt,Greene,Ginkel,3:06,N,29500,1.36,++++++,,.254,.325,.744,10,8,3,4.57
15,134,130,"Saturday, Aug 26",boxscore,ARI,,CIN,L,7,8,11,68-62,2,12.0,Díaz,Crismatt,Sims,3:35,N,34028,1.43,-,,.254,.324,.743,8,13,1,4.58
16,135,131,"Sunday, Aug 27",boxscore,ARI,,CIN,W,5,2,,69-62,2,12.0,McGough,Gibaut,Thompson,2:36,D,26574,1.43,+,,.254,.325,.744,8,4,0,4.56
17,136,132,"Monday, Aug 28",boxscore,ARI,@,LAD,L,4,7,,69-63,2,13.0,Miller,Gallen,Ferguson,2:24,N,36521,1.13,-,,.254,.324,.744,8,11,4,4.58
18,137,133,"Tuesday, Aug 29",boxscore,ARI,@,LAD,L,1,9,,69-64,3,14.0,Kershaw,Kelly,,2:30,N,42323,1.13,--,,.254,.324,.743,6,16,2,4.62
19,138,134,"Wednesday, Aug 30",boxscore,ARI,@,LAD,L,0,7,,69-65,3,15.0,Pepiot,Pfaadt,Yarbrough,2:42,N,50953,1.09,---,,.253,.323,.741,6,11,2,4.63
20,140,135,"Friday, Sep 1",boxscore,ARI,,BAL,W,4,2,,70-65,2,13.5,Davies,Irvin,Sewald,2:40,N,18248,1.05,+,,.254,.324,.742,10,8,0,4.61
21,141,136,"Saturday, Sep 2",boxscore,ARI,,BAL,L,3,7,,70-66,2,13.5,Bradish,Cecconi,,2:49,N,34118,1.14,-,,.253,.323,.741,5,11,2,4.63
22,142,137,"Sunday, Sep 3",boxscore,ARI,,BAL,L,5,8,,70-67,2,14.5,Coulombe,Gallen,,3:06,D,24284,1.08,--,,.253,.323,.741,9,14,0,4.65
23,143,138,"Monday, Sep 4",boxscore,ARI,,COL,W,4,2,,71-67,2,14.0,Kelly,Lambert,Sewald,2:18,D,18097,1.00,+,,.253,.322,.740,6,5,0,4.64
24,144,139,"Tuesday, Sep 5",boxscore,ARI,,COL,L,2,3,,71-68,2,14.0,Freeland,Pfaadt,Kinley,2:38,N,12994,1.03,-,,.252,.322,.739,6,7,0,4.62
25,145,140,"Wednesday, Sep 6",boxscore,ARI,,COL,W,12,5,,72-68,2,13.0,Jarvis,Flexen,,3:01,D,11044,.87,+,,.253,.323,.742,13,6,0,4.63
26,146,141,"Thursday, Sep 7",boxscore,ARI,@,CHC,W,6,2,,73-68,2,13.0,Nelson,Assad,Sewald,2:34,N,28814,1.26,++,,.253,.324,.744,10,5,0,4.61
27,147,142,"Friday, Sep 8",boxscore,ARI,@,CHC,W,1,0,,74-68,2,13.0,Gallen,Cuas,,2:16,D,31846,1.50,+++,,.252,.323,.741,4,3,0,4.57
28,148,143,"Saturday, Sep 9",boxscore,ARI,@,CHC,W,3,2,10,75-68,2,12.0,Ginkel,Palencia,Sewald,3:12,D,40391,1.64,++++,,.252,.323,.740,8,8,0,4.54
29,149,144,"Sunday, Sep 10",boxscore,ARI,@,CHC,L,2,5,,75-69,2,13.0,Hendricks,Mantiply,Merryweather,2:17,D,35431,1.73,-,,.252,.323,.739,9,9,3,4.55
0,118,114,"Wednesday, Aug 9",boxscore,PIT,,ATL,L,5,6,,51-63,4,10.0,Johnson,Mlodzinski,Iglesias,3:15,N,17639,.10,--,,.236,.312,.701,10,15,0,4.55
1,119,115,"Thursday, Aug 10",boxscore,PIT,,ATL,W,7,5,,52-63,4,9.5,Hatch,Elder,Holderman,2:46,D,16550,.08,+,,.237,.313,.701,10,12,2,4.55
